Make,Doors,Body style,Num of cylinders,Engine size,Compression ratio,Horsepower,Peak rpm,City mpg,Highway mpg,Price,Horsepower binned,Diesel,Gas
SUBARU,2,hatchback,four,0.29754601226993865,9.0,69,4900,31,36,5118.0,Low,0,1
MAZDA,2,hatchback,four,0.2791411042944785,9.0,68,5000,30,31,5195.0,Low,0,1
TOYOTA,2,hatchback,four,0.2822085889570552,9.0,62,4800,35,39,5348.0,Low,0,1
MITSUBISHI,2,hatchback,four,0.2822085889570552,9.4,68,5500,37,41,5389.0,Low,0,1
HONDA,2,hatchback,four,0.2423312883435583,10.1,60,5500,38,42,5399.0,Low,0,1
NISSAN,2,sedan,four,0.29754601226993865,9.4,69,5200,31,37,5499.0,Low,0,1
PLYMOUTH,2,hatchback,four,0.27607361963190186,9.4,68,5500,37,41,5572.0,Low,0,1
DODGE,2,hatchback,four,0.27607361963190186,9.41,68,5500,37,41,5572.0,Low,0,1
MAZDA,2,hatchback,four,0.2791411042944785,9.0,68,5000,31,38,6095.0,Low,0,1
MITSUBISHI,2,hatchback,four,0.2822085889570552,9.4,68,5500,31,38,6189.0,Low,0,1
DODGE,4,hatchback,four,0.27607361963190186,9.4,68,5500,31,38,6229.0,Low,0,1
PLYMOUTH,4,hatchback,four,0.27607361963190186,9.4,68,5500,31,38,6229.0,Low,0,1
CHEVROLET,2,hatchback,four,0.27607361963190186,9.6,70,5400,38,43,6295.0,Low,0,1
TOYOTA,2,hatchback,four,0.2822085889570552,9.0,62,4800,31,38,6338.0,Low,0,1
DODGE,2,hatchback,four,0.27607361963190186,9.4,68,5500,31,38,6377.0,Low,0,1
TOYOTA,4,hatchback,four,0.2822085889570552,9.0,62,4800,31,38,6488.0,Low,0,1
HONDA,2,hatchback,four,0.2822085889570552,9.2,76,6000,30,34,6529.0,Low,0,1
CHEVROLET,4,sedan,four,0.27607361963190186,9.6,70,5400,38,43,6575.0,Low,0,1
NISSAN,2,sedan,four,0.29754601226993865,9.4,69,5200,31,37,6649.0,Low,0,1
MITSUBISHI,2,hatchback,four,0.2822085889570552,9.4,68,5500,31,38,6669.0,Low,0,1
PLYMOUTH,4,sedan,four,0.27607361963190186,9.4,68,5500,31,38,6692.0,Low,0,1
DODGE,4,sedan,four,0.27607361963190186,9.4,68,5500,31,38,6692.0,Low,0,1
